"tag","wav_name","start_time_local","end_time_local"
"cc23_BLG","cc23_BLG030.wav",2023-01-08 01:00:41,2023-01-08 09:00:25
"cc23_BLG","cc23_BLG031.wav",2023-01-08 09:00:43,2023-01-08 17:00:28
"cc23_BLG","cc23_BLG032.wav",2023-01-08 17:00:45,2023-01-09 00:50:40
"cc23_BLG","cc23_BLG033.wav",2023-01-09 00:50:42,2023-01-09 01:00:31
"cc23_BLG","cc23_BLG034.wav",2023-01-09 01:00:47,2023-01-09 09:00:31
"cc23_BLG","cc23_BLG035.wav",2023-01-09 09:00:48,2023-01-09 17:00:32
"cc23_BLG","cc23_BLG036.wav",2023-01-09 17:00:50,2023-01-10 01:00:34
"cc23_BLG","cc23_BLG037.wav",2023-01-10 01:00:52,2023-01-10 09:00:36
"cc23_BLG","cc23_BLG038.wav",2023-01-10 09:00:54,2023-01-10 17:00:39
"cc23_BLG","cc23_BLG039.wav",2023-01-10 17:00:56,2023-01-11 01:00:41
"cc23_BLG","cc23_BLG040.wav",2023-01-11 01:00:58,2023-01-11 08:20:47
"cc23_BLG","cc23_BLG041.wav",2023-01-11 08:20:49,2023-01-11 09:00:44
"cc23_BLG","cc23_BLG042.wav",2023-01-11 09:01:00,2023-01-11 17:00:45
"cc23_BLG","cc23_BLG043.wav",2023-01-11 17:01:02,2023-01-12 01:00:46
"cc23_BLG","cc23_BLG044.wav",2023-01-12 01:01:04,2023-01-12 08:44:47
"cc23_BLG","cc23_BLG045.wav",2023-01-12 08:44:49,2023-01-12 09:00:50
"cc23_BLG","cc23_BLG046.wav",2023-01-12 09:01:06,2023-01-12 17:00:51
"cc23_BLG","cc23_BLG047.wav",2023-01-12 17:01:08,2023-01-13 01:00:53
"cc23_BLG","cc23_BLG048.wav",2023-01-13 01:01:10,2023-01-13 08:27:18
"cc23_BLG","cc23_BLG049.wav",2023-01-13 08:27:21,2023-01-13 09:00:57
"cc23_BLG","cc23_BLG050.wav",2023-01-13 09:01:12,2023-01-13 17:00:57
"cc23_BLG","cc23_BLG051.wav",2023-01-13 17:01:14,2023-01-14 00:29:19
"cc23_BLG","cc23_BLG052.wav",2023-01-14 00:29:21,2023-01-14 01:01:01
"cc23_BLG","cc23_BLG053.wav",2023-01-14 01:01:16,2023-01-14 08:52:33
"cc23_BLG","cc23_BLG054.wav",2023-01-14 08:52:35,2023-01-14 09:01:02
"cc23_BLG","cc23_BLG055.wav",2023-01-14 09:01:18,2023-01-14 17:01:03
"cc23_BLG","cc23_BLG056.wav",2023-01-14 17:01:20,2023-01-15 01:01:05
"cc23_BLG","cc23_BLG057.wav",2023-01-15 01:01:22,2023-01-15 08:49:17
"cc23_BLG","cc23_BLG058.wav",2023-01-15 08:49:19,2023-01-15 09:01:08
"cc23_BLG","cc23_BLG059.wav",2023-01-15 09:01:24,2023-01-15 17:01:09
"cc23_BLG","cc23_BLG060.wav",2023-01-15 17:01:26,2023-01-16 01:01:11
"cc23_BLG","cc23_BLG061.wav",2023-01-16 01:01:28,2023-01-16 07:56:06
"cc23_BLG","cc23_BLG062.wav",2023-01-16 07:56:08,2023-01-16 09:01:14
"cc23_BLG","cc23_BLG063.wav",2023-01-16 09:01:30,2023-01-16 17:01:16
"cc23_BLG","cc23_BLG064.wav",2023-01-16 17:01:32,2023-01-17 01:01:17
"cc23_BLG","cc23_BLG065.wav",2023-01-17 01:01:34,2023-01-17 09:00:02
"cc23_BLG","cc23_BLG066.wav",2023-01-17 09:00:04,2023-01-17 09:01:21
"cc23_BLG","cc23_BLG067.wav",2023-01-17 09:01:36,2023-01-17 17:01:21
"cc23_BLG","cc23_BLG068.wav",2023-01-17 17:01:38,2023-01-18 00:59:41
"cc23_BLG","cc23_BLG069.wav",2023-01-18 00:59:43,2023-01-18 01:01:25
"cc23_BLG","cc23_BLG070.wav",2023-01-18 01:01:40,2023-01-18 09:01:25
"cc23_BLG","cc23_BLG071.wav",2023-01-18 09:01:42,2023-01-18 17:01:27
"cc23_BLG","cc23_BLG072.wav",2023-01-18 17:01:44,2023-01-19 01:01:29
"cc23_BLG","cc23_BLG073.wav",2023-01-19 01:01:46,2023-01-19 09:01:31
"cc23_BLG","cc23_BLG074.wav",2023-01-19 09:01:48,2023-01-19 17:01:33
"cc23_BLG","cc23_BLG075.wav",2023-01-19 17:01:50,2023-01-20 00:06:13
"cc23_BLG","cc23_BLG076.wav",2023-01-20 00:06:16,2023-01-20 01:01:37
"cc23_BLG","cc23_BLG077.wav",2023-01-20 01:01:51,2023-01-20 08:22:54
"cc23_BLG","cc23_BLG078.wav",2023-01-20 08:22:56,2023-01-20 09:01:38
"cc23_BLG","cc23_BLG079.wav",2023-01-20 09:01:53,2023-01-20 17:01:39
"cc23_BLG","cc23_BLG080.wav",2023-01-20 17:01:55,2023-01-21 01:01:40
"cc23_BLG","cc23_BLG081.wav",2023-01-21 01:01:57,2023-01-21 08:28:24
"cc23_BLG","cc23_BLG082.wav",2023-01-21 08:28:26,2023-01-21 09:01:44
"cc23_BLG","cc23_BLG083.wav",2023-01-21 09:01:59,2023-01-21 17:01:44
"cc23_BLG","cc23_BLG084.wav",2023-01-21 17:02:01,2023-01-22 00:39:52
"cc23_BLG","cc23_BLG085.wav",2023-01-22 00:39:54,2023-01-22 01:01:48
"cc23_BLG","cc23_BLG086.wav",2023-01-22 01:02:03,2023-01-22 09:01:48
"cc23_BLG","cc23_BLG087.wav",2023-01-22 09:02:05,2023-01-22 17:01:51
"cc23_BLG","cc23_BLG088.wav",2023-01-22 17:02:07,2023-01-23 01:01:53
"cc23_BLG","cc23_BLG089.wav",2023-01-23 01:02:09,2023-01-23 08:57:09
"cc23_BLG","cc23_BLG090.wav",2023-01-23 08:57:11,2023-01-23 09:01:56
"cc23_BLG","cc23_BLG091.wav",2023-01-23 09:02:11,2023-01-23 17:01:57
"cc23_BLG","cc23_BLG092.wav",2023-01-23 17:02:13,2023-01-24 01:01:34
"cc23_BLG","cc23_BLG093.wav",2023-01-24 01:01:36,2023-01-24 01:02:00
"cc23_BLG","cc23_BLG094.wav",2023-01-24 01:02:15,2023-01-24 08:14:06
"cc23_BSCT","cc23_BSCT001.wav",2023-01-01 17:00:03,2023-01-02 00:59:46
"cc23_BSCT","cc23_BSCT002.wav",2023-01-02 01:00:05,2023-01-02 08:59:49
"cc23_BSCT","cc23_BSCT003.wav",2023-01-02 09:00:07,2023-01-02 16:59:51
"cc23_BSCT","cc23_BSCT004.wav",2023-01-02 17:00:09,2023-01-03 00:59:52
"cc23_BSCT","cc23_BSCT005.wav",2023-01-03 01:00:11,2023-01-03 08:59:54
"cc23_BSCT","cc23_BSCT006.wav",2023-01-03 09:00:13,2023-01-03 16:59:57
